41,Evolution Gaming Group,EVO,SEK,SE0012673267,Travel and Leisure,4050,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0012673267&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,EVO.ST
42,Fabege,FABG,SEK,SE0011166974,Real Estate,3510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0011166974&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,FABG.ST
43,Fenix Outdoor International B,FOI B,SEK,CH0242214887,Consumer Products and Services,4020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=CH0242214887&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,FOI-B.ST
44,Fastpartner A,FPAR A,SEK,SE0013512506,Real Estate,3510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0013512506&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,FPAR-A.ST
45,Fastpartner D,FPAR D,SEK,SE0013512514,Real Estate,3510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0013512514&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,FPAR-D.ST
46,Fastpartner Pref,FPAR PREF,SEK,SE0011309236,Real Estate,3510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0011309236&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,FPAR-PREF.ST
47,Getinge B,GETI B,SEK,SE0000202624,Health Care,2010,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000202624&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,GETI-B.ST
48,Hexagon B,HEXA B,SEK,SE0000103699,Technology,1010,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000103699&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,HEXA-B.ST
49,Hennes & Mauritz B,HM B,SEK,SE0000106270,Retail,4040,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000106270&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,HM-B.ST
50,Holmen A,HOLM A,SEK,SE0011090000,Basic Resources,5510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0011090000&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,HOLM-A.ST
51,Holmen B,HOLM B,SEK,SE0011090018,Basic Resources,5510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0011090018&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,HOLM-B.ST
52,HEXPOL B,HPOL B,SEK,SE0007074281,Basic Resources,5510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0007074281&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,HPOL-B.ST
53,Hufvudstaden A,HUFV A,SEK,SE0000170375,Real Estate,3510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000170375&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,HUFV-A.ST
54,Husqvarna A,HUSQ A,SEK,SE0001662222,Consumer Products and Services,4020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0001662222&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,HUSQ-A.ST
55,Husqvarna B,HUSQ B,SEK,SE0001662230,Consumer Products and Services,4020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0001662230&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,HUSQ-B.ST
56,ICA Gruppen,ICA,SEK,SE0000652216,"Personal Care, Drug and Grocery Stores",4520,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000652216&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ICA.ST
57,Indutrade,INDT,SEK,SE0001515552,Industrial Goods and Services,5020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0001515552&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,INDT.ST
